employee_id,first_name,last_name,email,job_title,department,hire_date,salary,manager_id
1,Falkner,Scothorn,fscothorn0@chicagotribune.com,Actuary,Legal,9/28/2024,113963,690
2,Gillan,Kesley,gkesley1@salon.com,Systems Administrator II,Engineering,8/28/2025,330145,624
3,Efren,Whewill,ewhewill2@businessinsider.com,Design Engineer,Sales,4/29/2025,806235,287
4,Linnie,Studeart,lstudeart3@csmonitor.com,Geological Engineer,Business Development,9/14/2025,884358,459
5,Roddie,Amthor,ramthor4@reverbnation.com,Research Assistant I,Product Management,12/30/2024,645338,870
6,Madalena,Donnel,mdonnel5@uol.com.br,Structural Analysis Engineer,Human Resources,2/4/2025,132341,177
7,Aloysia,Darcey,adarcey6@google.ca,Nurse,Support,10/6/2024,722088,32
8,Keefe,Tremathick,ktremathick7@youtu.be,Information Systems Manager,Services,12/24/2024,838116,834
9,Clarita,Fay,cfay8@instagram.com,VP Product Management,Legal,2/21/2025,380665,44
10,Zsazsa,Tregea,ztregea9@fema.gov,Recruiter,Business Development,4/21/2025,715845,294
11,Kin,Di Baudi,kdibaudia@nytimes.com,Programmer Analyst IV,Sales,6/6/2025,365742,403
12,Cirillo,Cronk,ccronkb@nba.com,Administrative Officer,Research and Development,6/10/2025,952169,823
13,Ivette,MacMillan,imacmillanc@goo.ne.jp,Structural Engineer,Business Development,1/26/2025,889709,400
14,Tony,Reynard,treynardd@house.gov,Senior Financial Analyst,Product Management,5/13/2025,458753,948
15,Charlene,Shortell,cshortelle@unblog.fr,Financial Advisor,Research and Development,2/1/2025,534905,249
16,Fidelia,Saffill,fsaffillf@irs.gov,Chief Design Engineer,Training,11/20/2024,927203,33
17,Nicoli,Sybe,nsybeg@addthis.com,VP Sales,Engineering,6/20/2025,556205,934
18,Ami,Hadcock,ahadcockh@google.fr,Information Systems Manager,Human Resources,11/28/2024,899916,84
19,Celisse,Shirley,cshirleyi@sakura.ne.jp,Junior Executive,Business Development,8/29/2025,662558,439
