customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,loyalty_points
1,Moria,Dabbes,mdabbes0@google.com.br,108-815-2381,9 Melvin Court,Longquan,China,,399
2,Pia,Lewinton,plewinton1@mozilla.com,129-587-3769,294 Garrison Center,Perez,Philippines,4334,369
3,Lavinie,Holehouse,lholehouse2@delicious.com,106-498-0153,44 Dryden Crossing,Koani Ndogo,Tanzania,,144
4,Sutherland,Flott,sflott3@blog.com,290-560-7253,9593 Fulton Alley,Yima,China,,750
5,Jefferson,Targetter,jtargetter4@umich.edu,547-584-2951,4 Hovde Place,Tumba,Sweden,147 42,153
6,Livvyy,Trehearn,ltrehearn5@tripod.com,809-519-6027,22 Moland Alley,Guadalupe,Mexico,38900,171
7,Maddie,Toner,mtoner6@ucsd.edu,533-250-6404,1859 Trailsway Center,Watsa,Democratic Republic of the Congo,,11
8,Avram,Payton,apayton7@squidoo.com,662-830-4156,6527 Mallard Hill,Miramichi,Canada,L7G,632
9,Gillan,Quade,gquade8@rambler.ru,151-934-0446,778 Briar Crest Trail,Posse,Brazil,73900-000,212
10,Ailyn,Wallege,awallege9@businessweek.com,165-318-5066,032 Montana Junction,Dadian,China,,508
11,Linzy,Dicty,ldictya@storify.com,518-798-7283,916 Pepper Wood Parkway,Béreldange,Luxembourg,L-8295,251
12,Nonnah,Domotor,ndomotorb@live.com,274-168-0999,683 Sunnyside Drive,Zheshart,Russia,169045,417
13,Kerr,Hulett,khulettc@linkedin.com,949-204-4999,2327 Trailsway Center,San Ignacio,Honduras,,314
14,Theodoric,MacCracken,tmaccrackend@flavors.me,929-769-9276,4991 Oxford Crossing,Jimenez,Philippines,7204,84
15,Hamish,Govier,hgoviere@topsy.com,924-956-4863,4 Anniversary Plaza,Oele,Indonesia,,796
16,Chastity,Leachman,cleachmanf@hud.gov,291-536-6566,59066 Eastwood Circle,Pathum Thani,Thailand,53140,971
17,Hodge,Windaybank,hwindaybankg@latimes.com,980-294-3048,2702 Pankratz Place,Nandulehe,China,,545
18,Alfie,Girkin,agirkinh@bloglines.com,198-250-6535,4991 Michigan Court,Katyuzhanka,Ukraine,,918
19,Hunt,Nares,hnaresi@stumbleupon.com,216-670-5387,6411 Butterfield Court,Andop,Philippines,1174,536
20,Evelyn,Mapstone,emapstonej@tmall.com,575-838-9172,6415 Village Avenue,Huddinge,Sweden,141 38,159
21,Anestassia,Dybald,adybaldk@vinaora.com,765-933-9567,92 Ramsey Circle,Indianapolis,United States,46202,400
22,Darcie,Goldthorp,dgoldthorpl@canalblog.com,391-453-8685,8 Kingsford Plaza,Napu,Indonesia,,545
23,Maddie,Fields,mfieldsm@webs.com,570-419-3752,578 Onsgard Lane,Banjar Cemenggon,Indonesia,,348
24,Ned,Bullingham,nbullinghamn@ed.gov,635-316-7782,002 Steensland Drive,Žrnovnica,Croatia,21251,780
25,Merrill,Pigram,mpigramo@purevolume.com,262-808-3128,81308 Center Lane,Nouvelle France,Mauritius,,851
26,Maggy,Mechi,mmechip@microsoft.com,335-652-9299,82 Clemons Alley,Stockholm,Sweden,114 84,716
27,Mathew,Pennick,mpennickq@usa.gov,737-248-7853,04822 Corben Court,Pignon,Haiti,,543
28,Way,Jelf,wjelfr@adobe.com,732-196-2587,4 Esch Place,Czernikowo,Poland,87-640,484
29,Maxim,Coysh,mcoyshs@fema.gov,591-231-2238,78 Montana Plaza,Kyra,Russia,674250,160
30,Kimmie,Sustin,ksustint@virginia.edu,983-168-8263,7312 Walton Junction,Xuanbao,China,,624
31,Vallie,Holme,vholmeu@europa.eu,201-998-2698,88 Loftsgordon Pass,Wufeng,China,,238
